label,text,text_,tokens_text_,tokens_text_length_
outros,"5. Assim, o débito vencido do réu, devidamente atualizado até 22/11/2017 pelos encargos contratados importa em R$ 210.931,04 (duzentos e dez mil, novecentos e trinta e um reais e quatro centavos) (doc. nº 05), sendo este o valor total para fins de purgação da mora em R$ 340.568,58 (trezentos e quarenta mil, quinhentos e sessenta e oito reais e cinquenta e oito centavos), correspondente ao principal e acessórios das dívidas vencidas e vincendas do réu, devidamente discriminados no doc. 05",assim debito vencido reu devidamente atualizado ate encargos contratados importa duzentos dez mil novecentos trinta reais quatro centavos doc sendo valor total fins purgacao mora trezentos quarenta mil quinhentos sessenta oito reais cinquenta oito centavos correspondente principal acessorios dividas vencidas vincendas reu devidamente discriminados doc,"['assim', 'debito', 'vencido', 'reu', 'devidamente', 'atualizado', 'ate', 'encargos', 'contratados', 'importa', 'duzentos', 'dez', 'mil', 'novecentos', 'trinta', 'reais', 'quatro', 'centavos', 'doc', 'sendo', 'valor', 'total', 'fins', 'purgacao', 'mora', 'trezentos', 'quarenta', 'mil', 'quinhentos', 'sessenta', 'oito', 'reais', 'cinquenta', 'oito', 'centavos', 'correspondente', 'principal', 'acessorios', 'dividas', 'vencidas', 'vincendas', 'reu', 'devidamente', 'discriminados', 'doc']",45
constituicao_mora,"4. O autor, seguindo os procedimentos estabelecidos pela Lei 13.043/2014, constituiu a mora do réu, por meio da notificação formalizada por carta registrada com aviso de recebimento (doc. nº 04).",autor seguindo procedimentos estabelecidos lei constituiu mora reu meio notificacao formalizada carta registrada aviso recebimento doc,"['autor', 'seguindo', 'procedimentos', 'estabelecidos', 'lei', 'constituiu', 'mora', 'reu', 'meio', 'notificacao', 'formalizada', 'carta', 'registrada', 'aviso', 'recebimento', 'doc']",16
inadimplemento,"3. Ocorre, porém, que a ré tornou-se inadimplente, deixando de efetuar o pagamento das prestações a partir de 15/07/2016, incorrendo em mora desde então, nos termos do artigo 2º e § 2º, do Decreto-Lei 911/69, com as alterações da Lei 13.043/2014.",ocorre porem re tornou inadimplente deixando efetuar pagamento prestacoes partir incorrendo mora desde entao termos artigo SS decreto lei alteracoes lei,"['ocorre', 'porem', 're', 'tornou', 'inadimplente', 'deixando', 'efetuar', 'pagamento', 'prestacoes', 'partir', 'incorrendo', 'mora', 'desde', 'entao', 'termos', 'artigo', 'SS', 'decreto', 'lei', 'alteracoes', 'lei']",21
alienacao_fiduciaria,"2. Em garantia das obrigações assumidas a ré (réu) transferiu em Alienação Fiduciária, o bem descrito no supramencionado contrato a saber: a) “VEÍCULO MARCA MAN CAMINHÃO, MODELO TRATOR VW 25.420 CTC T6X2, CHASSIS 953638279ER438508, PLACA FPH3329, RENAVAM 001024847320, ANO 14/14, MOVIDO À DIESEL”.",garantia obrigacoes assumidas re reu transferiu alienacao fiduciaria bem descrito supramencionado contrato saber veiculo marca man caminhao modelo trator vw ctc chassis placa renavam ano movido diesel,"['garantia', 'obrigacoes', 'assumidas', 're', 'reu', 'transferiu', 'alienacao', 'fiduciaria', 'bem', 'descrito', 'supramencionado', 'contrato', 'saber', 'veiculo', 'marca', 'man', 'caminhao', 'modelo', 'trator', 'vw', 'ctc', 'chassis', 'placa', 'renavam', 'ano', 'movido', 'diesel']",27
contrato,"1. O autor concedeu a ré um financiamento no valor de R$275.000,00 (duzentos e setenta e cinco mil reais), para ser restituído por meio de 56 prestações mensais, com vencimento final em 18/11/2019, mediante Contrato de Financiamento 442747 para Aquisição de Bens, garantido por Alienação Fiduciária, celebrado em 17/10/2014.",autor concedeu re financiamento valor duzentos setenta cinco mil reais ser restituido meio prestacoes mensais vencimento final mediante contrato financiamento aquisicao bens garantido alienacao fiduciaria celebrado,"['autor', 'concedeu', 're', 'financiamento', 'valor', 'duzentos', 'setenta', 'cinco', 'mil', 'reais', 'ser', 'restituido', 'meio', 'prestacoes', 'mensais', 'vencimento', 'final', 'mediante', 'contrato', 'financiamento', 'aquisicao', 'bens', 'garantido', 'alienacao', 'fiduciaria', 'celebrado']",26
outros,"5. Assim, o débito vencido da ré, devidamente atualizado até 22/Janeiro/2020 pelos encargos contratados importa em R$ 3.751,27, sendo que o valor total para fins de purgação da mora deverá contemplar o valor atualizado de parcelas vencidas e vincendas, com juros e encargos, nos termos do §2º do art. 3º do decreto lei 911/69.",assim debito vencido re devidamente atualizado ate janeiro encargos contratados importa sendo valor total fins purgacao mora devera contemplar valor atualizado parcelas vencidas vincendas juros encargos termos art decreto lei,"['assim', 'debito', 'vencido', 're', 'devidamente', 'atualizado', 'ate', 'janeiro', 'encargos', 'contratados', 'importa', 'sendo', 'valor', 'total', 'fins', 'purgacao', 'mora', 'devera', 'contemplar', 'valor', 'atualizado', 'parcelas', 'vencidas', 'vincendas', 'juros', 'encargos', 'termos', 'art', 'decreto', 'lei']",30
constituicao_mora,"4. O autor, seguindo os procedimentos estabelecidos pela Lei 13.043/2014, constituiu a mora da ré, por meio de notificação formalizada por carta registrada com aviso de recebimento (doc. anexo).",autor seguindo procedimentos estabelecidos lei constituiu mora re meio notificacao formalizada carta registrada aviso recebimento doc anexo,"['autor', 'seguindo', 'procedimentos', 'estabelecidos', 'lei', 'constituiu', 'mora', 're', 'meio', 'notificacao', 'formalizada', 'carta', 'registrada', 'aviso', 'recebimento', 'doc', 'anexo']",17
inadimplemento,"3. Ocorre, porém, que a ré tornou-se inadimplente, deixando de efetuar o pagamento das prestações a partir de 24/09/2019, incorrendo em mora desde então, nos termos do artigo 2º e § 2º, do Decreto-Lei 911/69, com as alterações da Lei 13.043/2014.",ocorre porem re tornou inadimplente deixando efetuar pagamento prestacoes partir incorrendo mora desde entao termos artigo SS decreto lei alteracoes lei,"['ocorre', 'porem', 're', 'tornou', 'inadimplente', 'deixando', 'efetuar', 'pagamento', 'prestacoes', 'partir', 'incorrendo', 'mora', 'desde', 'entao', 'termos', 'artigo', 'SS', 'decreto', 'lei', 'alteracoes', 'lei']",21
alienacao_fiduciaria,"2. Em garantia das obrigações assumidas a ré transferiu em Alienação Fiduciária, o bem descrito no supramencionado contrato, a saber: MARCA: FIAT TIPO: UNO WAY EVOLUTION3 1 0 MODELO: CHASSI: 9BD195102F0636492 8 COR: BRANCO ANO: 2015 PLACA: FCG8584 RENAVAM: 01024296811",garantia obrigacoes assumidas re transferiu alienacao fiduciaria bem descrito supramencionado contrato saber marca fiat tipo uno way modelo chassi cor branco ano placa renavam,"['garantia', 'obrigacoes', 'assumidas', 're', 'transferiu', 'alienacao', 'fiduciaria', 'bem', 'descrito', 'supramencionado', 'contrato', 'saber', 'marca', 'fiat', 'tipo', 'uno', 'way', 'modelo', 'chassi', 'cor', 'branco', 'ano', 'placa', 'renavam']",24
contrato,"1. O autor concedeu a ré um financiamento no valor de R$ 41.438,88, para ser restituído por meio de 48 prestações mensais, no valor de R$ 863,31, com vencimento final em 24/05/2023, mediante Contrato de Financiamento para Aquisição de Bens, garantido por Alienação Fiduciária, celebrado em 24/05/2019.",autor concedeu re financiamento valor ser restituido meio prestacoes mensais valor vencimento final mediante contrato financiamento aquisicao bens garantido alienacao fiduciaria celebrado,"['autor', 'concedeu', 're', 'financiamento', 'valor', 'ser', 'restituido', 'meio', 'prestacoes', 'mensais', 'valor', 'vencimento', 'final', 'mediante', 'contrato', 'financiamento', 'aquisicao', 'bens', 'garantido', 'alienacao', 'fiduciaria', 'celebrado']",22
outros,"5. Assim, o débito vencido da(o) ré(u), devidamente atualizado até 24/06/2015 pelos encargos contratados importa em R$9.132,72 (nove mil, cento e trinta e dois reais e setenta e dois centavos) (doc. nº 05), sendo que o valor total para fins de purgação da mora em R$21.126,24 (vinte e um mil, cento e vinte e seis reais e vinte e quatro centavos).",assim debito vencido re devidamente atualizado ate encargos contratados importa nove mil cento trinta dois reais setenta dois centavos doc sendo valor total fins purgacao mora vinte mil cento vinte seis reais vinte quatro centavos,"['assim', 'debito', 'vencido', 're', 'devidamente', 'atualizado', 'ate', 'encargos', 'contratados', 'importa', 'nove', 'mil', 'cento', 'trinta', 'dois', 'reais', 'setenta', 'dois', 'centavos', 'doc', 'sendo', 'valor', 'total', 'fins', 'purgacao', 'mora', 'vinte', 'mil', 'cento', 'vinte', 'seis', 'reais', 'vinte', 'quatro', 'centavos']",35
constituicao_mora,"4. O autor, seguindo os procedimentos estabelecidos pela Lei 13.043/14, constituiu a mora da(o) ré(u), por meio da notificação formalizada por carta registrada com aviso de recebimento (doc. nº 04).",autor seguindo procedimentos estabelecidos lei constituiu mora re meio notificacao formalizada carta registrada aviso recebimento doc,"['autor', 'seguindo', 'procedimentos', 'estabelecidos', 'lei', 'constituiu', 'mora', 're', 'meio', 'notificacao', 'formalizada', 'carta', 'registrada', 'aviso', 'recebimento', 'doc']",16
inadimplemento,"3. Ocorre, porém, que a(o) ré(u) tornou-se inadimplente, deixando de efetuar o pagamento das prestações a partir de 17/10/2014 ocorrendo em mora desde então, nos termos do artigo 2º e § 2º, do Decreto-Lei 911/69, com as alterações da Lei 13.043/14.",ocorre porem re tornou inadimplente deixando efetuar pagamento prestacoes partir ocorrendo mora desde entao termos artigo SS decreto lei alteracoes lei,"['ocorre', 'porem', 're', 'tornou', 'inadimplente', 'deixando', 'efetuar', 'pagamento', 'prestacoes', 'partir', 'ocorrendo', 'mora', 'desde', 'entao', 'termos', 'artigo', 'SS', 'decreto', 'lei', 'alteracoes', 'lei']",21
alienacao_fiduciaria,"2. Em garantia das obrigações assumidas a(o) ré(u) transferiu em Alienação Fiduciária, o bem descrito no supramencionado contrato a saber : Automóvel, marca Volkswagen, modelo Gol (novo) 1.0 Mi Total Flex 8V 2p, ano de fabricação/modelo 2012/2013, cor Prata, chassi 9BWAA05U2DT135794, placas SP/EWO3450.",garantia obrigacoes assumidas re transferiu alienacao fiduciaria bem descrito supramencionado contrato saber automovel marca volkswagen modelo gol novo mi total flex ano fabricacao modelo cor prata chassi placas sp,"['garantia', 'obrigacoes', 'assumidas', 're', 'transferiu', 'alienacao', 'fiduciaria', 'bem', 'descrito', 'supramencionado', 'contrato', 'saber', 'automovel', 'marca', 'volkswagen', 'modelo', 'gol', 'novo', 'mi', 'total', 'flex', 'ano', 'fabricacao', 'modelo', 'cor', 'prata', 'chassi', 'placas', 'sp']",29
contrato,"1. O autor concedeu a(o) ré(u) um financiamento, contrato 2.748.411-9, no valor de R$41.120,64, para ser restituído por meio de 48 prestações mensais, no valor de R$856,68, com vencimento final em 17/08/2016 mediante Cédula de Crédito Bancário, celebrada em 17/08/2012.",autor concedeu re financiamento contrato valor ser restituido meio prestacoes mensais valor vencimento final mediante cedula credito bancario celebrada,"['autor', 'concedeu', 're', 'financiamento', 'contrato', 'valor', 'ser', 'restituido', 'meio', 'prestacoes', 'mensais', 'valor', 'vencimento', 'final', 'mediante', 'cedula', 'credito', 'bancario', 'celebrada']",19
outros,"5. Assim, o débito vencido da(o) ré(u), devidamente atualizado até 22/02/2016 pelos encargos contratados importa em R$7.511,27 (sete mil, quinhentos e onze reais e vinte e sete centavos) (doc. nº 05), sendo que o valor total para fins de purgação da mora em R$53.738,99 (cinquenta e três mil, setecentos e trinta e oito reais e noventa e nove centavos).",assim debito vencido re devidamente atualizado ate encargos contratados importa sete mil quinhentos onze reais vinte sete centavos doc sendo valor total fins purgacao mora cinquenta tres mil setecentos trinta oito reais noventa nove centavos,"['assim', 'debito', 'vencido', 're', 'devidamente', 'atualizado', 'ate', 'encargos', 'contratados', 'importa', 'sete', 'mil', 'quinhentos', 'onze', 'reais', 'vinte', 'sete', 'centavos', 'doc', 'sendo', 'valor', 'total', 'fins', 'purgacao', 'mora', 'cinquenta', 'tres', 'mil', 'setecentos', 'trinta', 'oito', 'reais', 'noventa', 'nove', 'centavos']",35
constituicao_mora,"4. O autor, seguindo os procedimentos estabelecidos pela Lei 13.043/14, constituiu a mora da(o) ré(u), por meio da notificação formalizada por carta registrada com aviso de recebimento (doc. nº 04).",autor seguindo procedimentos estabelecidos lei constituiu mora re meio notificacao formalizada carta registrada aviso recebimento doc,"['autor', 'seguindo', 'procedimentos', 'estabelecidos', 'lei', 'constituiu', 'mora', 're', 'meio', 'notificacao', 'formalizada', 'carta', 'registrada', 'aviso', 'recebimento', 'doc']",16
inadimplemento,"3. Ocorre, porém, que a(o) ré(u) tornou-se inadimplente, deixando de efetuar o pagamento das prestações a partir de 30/09/2013, ocorrendo em mora desde então, nos termos do artigo 2º e § 2º, do Decreto-Lei 911/69, com as alterações da Lei 13.043/14.",ocorre porem re tornou inadimplente deixando efetuar pagamento prestacoes partir ocorrendo mora desde entao termos artigo SS decreto lei alteracoes lei,"['ocorre', 'porem', 're', 'tornou', 'inadimplente', 'deixando', 'efetuar', 'pagamento', 'prestacoes', 'partir', 'ocorrendo', 'mora', 'desde', 'entao', 'termos', 'artigo', 'SS', 'decreto', 'lei', 'alteracoes', 'lei']",21
alienacao_fiduciaria,"2. Em garantia das obrigações assumidas a(o) ré(u) transferiu em Alienação Fiduciária, o bem descrito no supramencionado contrato a saber : Automóvel, marca Volkswagen, modelo up! high 1.0 Total Flex 12V 5p, ano de fabricação/modelo 2014/2015, cor Branca, chassi 9BWAG4126FT531949, placas SP/FVF5330.",garantia obrigacoes assumidas re transferiu alienacao fiduciaria bem descrito supramencionado contrato saber automovel marca volkswagen modelo up high total flex ano fabricacao modelo cor branca chassi placas sp,"['garantia', 'obrigacoes', 'assumidas', 're', 'transferiu', 'alienacao', 'fiduciaria', 'bem', 'descrito', 'supramencionado', 'contrato', 'saber', 'automovel', 'marca', 'volkswagen', 'modelo', 'up', 'high', 'total', 'flex', 'ano', 'fabricacao', 'modelo', 'cor', 'branca', 'chassi', 'placas', 'sp']",28
contrato,"1. O autor concedeu a(o) ré(u) um financiamento, contrato 3.329.112-0, no valor de R$66.039,60, para ser restituído por meio de 60 prestações mensais, no valor de R$1.100,66, com vencimento final em 30/07/2019 mediante Cédula de Crédito Bancário, celebrada em 31/07/2014.",autor concedeu re financiamento contrato valor ser restituido meio prestacoes mensais valor vencimento final mediante cedula credito bancario celebrada,"['autor', 'concedeu', 're', 'financiamento', 'contrato', 'valor', 'ser', 'restituido', 'meio', 'prestacoes', 'mensais', 'valor', 'vencimento', 'final', 'mediante', 'cedula', 'credito', 'bancario', 'celebrada']",19
